강우사상번호,연도,월,일,시간,유입량_Qt,유입량_Qt_1_P,유입량_Qt_2_P,유입량_Qt_3_P,유입량_Qt_4_P,유입량_Qt_5_P,유역평균강수량_1h,강수량_지점1_1h,강수량_지점2_1h,강수량_지점3_1h,강수량_지점4_1h,수위_지점1_1h,수위_지점2_1h,유역평균강수량_2h,강수량_지점1_2h,강수량_지점2_2h,강수량_지점3_2h,강수량_지점4_2h,수위_지점1_2h,수위_지점2_2h,유역평균강수량_3h,강수량_지점1_3h,강수량_지점2_3h,강수량_지점3_3h,강수량_지점4_3h,수위_지점1_3h,수위_지점2_3h,유역평균강수량_4h,강수량_지점1_4h,강수량_지점2_4h,강수량_지점3_4h,강수량_지점4_4h,수위_지점1_4h,수위_지점2_4h,유역평균강수량_5h,강수량_지점1_5h,강수량_지점2_5h,강수량_지점3_5h,강수량_지점4_5h,수위_지점1_5h,수위_지점2_5h,유역평균강수량_6h,강수량_지점1_6h,강수량_지점2_6h,강수량_지점3_6h,강수량_지점4_6h,수위_지점1_6h,수위_지점2_6h
3,2006,7,10,8,172.904205,191.3076269,209.632242,219.6921481,216.6857762,196.6576402,6.308,7,7,7,8,2.54,122.56875,6.3,7,7,7,8,2.54,122.5416667,6.3,7,7,7,8,2.54,122.55,6.4,7,7,8,8,2.54,122.675,6.4,7,7,8,8,2.54,122.66,6.4,7,7,8,8,2.54,122.61
3,2006,7,10,9,163.4539616,172.904205,191.3076269,209.632242,219.6921481,216.6857762,6.3,7,8,7,8,2.53,122.5625,6.4,7,8,7,8,2.53,122.55,6.4,7,8,7,8,2.53,122.5583333,7.3,7,8,10,10,2.53,122.6678571,7.3,7,8,10,10,2.53,122.648,7.3,7,8,10,10,2.53,122.6
3,2006,7,10,10,169.6855414,163.4539616,172.904205,191.3076269,209.632242,219.6921481,6.4,7,9,7,8,2.53,122.55625,7.3,7,9,7,8,2.53,122.5583333,7.3,7,9,8,8,2.53,122.5666667,8.2,7,9,10,11,2.53,122.6607143,8.2,7,9,10,11,2.53,122.636,8.2,7,9,10,11,2.53,122.59
3,2006,7,10,11,189.1142274,169.6855414,163.4539616,172.904205,191.3076269,209.632242,7.3,7,10,7,8,2.53,122.55625,8.2,7,10,8,8,2.53,122.5666667,8.2,7,10,10,10,2.53,122.575,11.3,9,10,15,14,2.53,122.6535714,11.3,9,10,15,14,2.53,122.62,11.3,9,10,15,14,2.53,122.585
3,2006,7,10,12,216.9519618,189.1142274,169.6855414,163.4539616,172.904205,191.3076269,8.2,7,12,8,10,2.53,122.55625,11.3,9,12,10,10,2.53,122.575,11.3,9,12,10,11,2.53,122.575,14.4,12,12,18,16,2.53,122.6392857,14.4,12,12,18,16,2.53,122.604,14.4,12,12,18,16,2.53,122.575
3,2006,7,10,13,251.4244187,216.9519618,189.1142274,169.6855414,163.4539616,172.904205,11.3,7,14,10,11,2.53,122.55625,14.4,12,14,10,11,2.53,122.575,14.4,12,14,15,14,2.53,122.575,16.9,14,14,20,17,2.53,122.625,16.9,14,14,20,17,2.53,122.592,16.9,14,14,19,17,2.53,122.565
3,2006,7,10,14,302.812199,251.4244187,216.9519618,189.1142274,169.6855414,163.4539616,14.4,9,17,10,14,2.53,122.55625,16.9,14,17,15,14,2.53,122.575,16.9,14,17,18,16,2.53,122.575,20.5,15,17,27,21,2.53,122.6071429,20.5,15,17,27,21,2.53,122.58,20.5,15,17,26,21,2.53,122.555
3,2006,7,10,15,384.7834064,302.812199,251.4244187,216.9519618,189.1142274,169.6855414,16.9,12,24,15,16,2.54,122.55625,20.5,15,24,18,16,2.54,122.575,20.5,15,24,20,17,2.54,122.5583333,25.8,17,24,31,27,2.54,122.5892857,25.8,17,24,31,27,2.54,122.568,25.8,17,24,29,27,2.54,122.55
3,2006,7,10,16,512.5012279,384.7834064,302.812199,251.4244187,216.9519618,189.1142274,20.5,14,33,18,17,2.56,122.55,25.8,17,33,20,17,2.56,122.5583333,25.8,17,33,26,21,2.56,122.5416667,31.7,20,33,34,31,2.56,122.575,31.7,20,33,34,31,2.56,122.552,31.7,20,33,31,30,2.56,122.54
3,2006,7,10,17,701.5026217,512.5012279,384.7834064,302.812199,251.4244187,216.9519618,25.8,15,40,20,21,2.58,122.54375,31.7,20,40,26,21,2.58,122.5416667,31.7,20,40,30,27,2.58,122.525,37.9,21,40,42,36,2.58,122.5607143,37.9,21,40,42,36,2.58,122.54,37.9,21,40,39,35,2.58,122.535
3,2006,7,10,18,952.5260535,701.5026217,512.5012279,384.7834064,302.812199,251.4244187,31.7,17,46,27,27,2.61,122.5375,37.9,21,46,30,27,2.61,122.525,37.9,21,46,32,31,2.61,122.5083333,44.1,24,46,45,44,2.61,122.55,44.1,24,46,45,44,2.61,122.528,44.1,24,46,42,43,2.61,122.53
3,2006,7,10,19,1207.11602,952.5260535,701.5026217,512.5012279,384.7834064,302.812199,37.9,20,51,30,31,2.65,122.53125,44.1,24,51,32,31,2.65,122.5083333,44.1,24,51,39,35,2.65,122.5,50,34,51,47,57,2.65,122.5392857,50,34,51,47,57,2.65,122.524,50,34,51,44,54,2.65,122.525
3,2006,7,10,20,1392.018525,1207.11602,952.5260535,701.5026217,512.5012279,384.7834064,44.1,21,56,33,35,2.7,122.525,50,34,56,39,35,2.7,122.5,50,34,56,42,44,2.7,122.4916667,52.9,37,56,48,58,2.7,122.5321429,52.9,37,56,48,58,2.7,122.52,52.9,37,56,45,55,2.7,122.525
3,2006,7,10,21,1454.768513,1392.018525,1207.11602,952.5260535,701.5026217,512.5012279,50,24,57,40,44,2.79,122.51875,52.9,37,57,42,44,2.79,122.4916667,52.9,37,57,44,56,2.79,122.4916667,54.6,39,57,49,57,2.79,122.5285714,54.6,39,57,49,57,2.79,122.524,54.6,39,57,46,56,2.79,122.525
3,2006,7,10,22,1426.056687,1454.768513,1392.018525,1207.11602,952.5260535,701.5026217,52.9,34,58,42,56,3.05,122.51875,54.6,39,58,44,56,3.05,122.4916667,54.6,39,58,45,56,3.05,122.4916667,55.9,41,58,51,58,3.05,122.5285714,55.9,41,58,51,58,3.05,122.528,55.9,41,58,48,58,3.05,122.53
3,2006,7,10,23,1357.36269,1426.056687,1454.768513,1392.018525,1207.11602,952.5260535,54.6,37,59,44,56,3.46,122.51875,55.9,41,59,45,56,3.46,122.4916667,55.9,41,58,46,56,3.46,122.5,57,41,58,52,59,3.46,122.5321429,57,41,58,52,59,3.46,122.536,57,41,59,49,59,3.46,122.535
3,2006,7,10,24,1293.862205,1357.36269,1426.056687,1454.768513,1392.018525,1207.11602,55.9,39,60,45,56,3.8,122.525,57,41,60,46,56,3.8,122.5,57,41,58,48,58,3.8,122.525,58.2,43,58,53,60,3.8,122.5428571,58.2,43,58,53,60,3.8,122.548,57.9,43,59,50,60,3.8,122.54
3,2006,7,11,1,1255.51507,1293.862205,1357.36269,1426.056687,1454.768513,1392.018525,57,41,61,46,58,4.03,122.5375,58.2,43,61,48,58,4.03,122.525,58.2,43,58,49,59,4.03,122.5583333,59.4,44,58,53,62,4.03,122.5571429,59.4,44,58,53,62,4.03,122.564,58.8,44,59,50,62,4.03,122.55
3,2006,7,11,2,1255.977162,1255.51507,1293.862205,1357.36269,1426.056687,1454.768513,58.2,41,62,48,59,4.16,122.55625,59.4,44,62,49,59,4.16,122.5583333,59.4,44,58,50,60,4.16,122.6,60.4,45,58,54,62,4.16,122.575,60.4,45,58,54,62,4.16,122.584,59.1,45,59,51,62,4.16,122.565
3,2006,7,11,3,1299.827525,1255.977162,1255.51507,1293.862205,1357.36269,1426.056687,59.4,43,63,49,60,4.22,122.58125,60.4,45,63,50,60,4.22,122.6,60.4,45,58,50,62,4.22,122.6583333,61,46,58,55,63,4.22,122.5964286,61,46,58,55,63,4.22,122.608,58.9,46,59,49,63,4.22,122.585
3,2006,7,11,4,1355.337857,1299.827525,1255.977162,1255.51507,1293.862205,1357.36269,60.4,44,64,50,62,4.23,122.6125,61,46,64,50,62,4.23,122.6583333,61,46,58,51,62,4.23,122.7166667,61.8,46,58,54,63,4.23,122.6178571,61.8,46,58,54,63,4.23,122.628,59,46,59,48,63,4.23,122.61
3,2006,7,11,5,1381.703021,1355.337857,1299.827525,1255.977162,1255.51507,1293.862205,61,45,65,50,62,4.24,122.65,61.8,46,65,51,62,4.24,122.7166667,61.8,46,59,52,63,4.24,122.7833333,62.4,46,59,56,63,4.24,122.6428571,62.4,46,59,56,63,4.24,122.652,58.9,46,59,50,63,4.24,122.635
3,2006,7,11,6,1352.132424,1381.703021,1355.337857,1299.827525,1255.977162,1255.51507,61.8,46,66,51,63,4.26,122.69375,62.4,46,65,52,63,4.26,122.7833333,62.4,46,59,49,63,4.26,122.8583333,62.8,48,59,55,63,4.26,122.6714286,62.5,48,59,55,63,4.26,122.68,58.7,48,60,50,63,4.26,122.665
3,2006,7,11,7,1295.893649,1352.132424,1381.703021,1355.337857,1299.827525,1255.977162,62.4,46,65,52,63,4.35,122.74375,62.8,48,64,49,63,4.35,122.8583333,62.8,48,59,50,63,4.35,122.9333333,63.1,48,59,55,63,4.35,122.7,62.5,48,59,55,63,4.35,122.712,58.8,48,59,51,62,4.35,122.7
3,2006,7,11,8,1256.268823,1295.893649,1352.132424,1381.703021,1355.337857,1299.827525,62.8,46,64,52,63,4.46,122.80625,63.1,48,63,50,63,4.46,122.9333333,63.1,48,59,50,63,4.46,123.0166667,62.9,48,59,55,63,4.46,122.7321429,61.9,48,59,55,63,4.46,122.748,58.8,48,59,51,61,4.46,122.74
3,2006,7,11,9,1265.636588,1256.268823,1295.893649,1352.132424,1381.703021,1355.337857,63.1,48,63,51,63,4.71,122.875,62.9,48,62,50,63,4.71,123.0166667,62.9,48,59,51,63,4.71,123.1,62.7,48,59,55,62,4.71,122.7678571,61.2,48,59,55,62,4.71,122.788,58.9,48,59,51,60,4.71,122.79
3,2006,7,11,10,1312.761633,1265.636588,1256.268823,1295.893649,1352.132424,1381.703021,62.9,48,62,50,63,5.06,122.95,62.7,48,61,51,63,5.06,123.1,62.7,48,59,51,62,5.06,123.1833333,62,48,59,55,61,5.06,122.8035714,60.5,48,59,55,61,5.06,122.828,58.9,48,59,51,60,5.06,122.845
3,2006,7,11,11,1375.505161,1312.761633,1265.636588,1256.268823,1295.893649,1352.132424,62.7,48,61,51,62,5.27,123.025,62,48,60,51,62,5.27,123.1833333,62,48,59,51,61,5.27,123.2666667,61.3,48,59,55,61,5.27,122.8428571,59.9,48,59,55,61,5.27,122.872,59,48,59,51,61,5.27,122.9
3,2006,7,11,12,1437.167338,1375.505161,1312.761633,1265.636588,1256.268823,1295.893649,62,47,60,51,61,5.33,123.1,61.3,47,60,51,61,5.33,123.2666667,61.3,47,59,51,60,5.33,123.3416667,60.6,47,59,55,61,5.33,122.8821429,59.3,47,59,55,61,5.33,122.916,59,47,59,51,61,5.33,122.965
3,2006,7,11,13,1502.804186,1437.167338,1375.505161,1312.761633,1265.636588,1256.268823,61.3,46,60,51,60,5.34,123.175,60.6,46,59,51,60,5.34,123.3416667,60.6,46,59,51,61,5.34,123.425,60,46,59,55,61,5.34,122.9285714,59.2,46,59,55,61,5.34,122.972,59.1,46,59,51,61,5.34,123.03
3,2006,7,11,14,1582.91069,1502.804186,1437.167338,1375.505161,1312.761633,1265.636588,60.6,46,59,51,61,5.34,123.25625,60,46,59,51,61,5.34,123.425,60,46,59,51,61,5.34,123.5083333,59.4,46,59,55,61,5.34,122.9785714,59.1,46,59,55,61,5.34,123.032,59.1,46,59,51,61,5.34,123.105
3,2006,7,11,15,1676.198585,1582.91069,1502.804186,1437.167338,1375.505161,1312.761633,60,46,59,51,61,5.32,123.34375,59.4,46,59,51,61,5.32,123.5083333,59.4,46,59,51,61,5.32,123.5833333,59.2,46,59,55,61,5.32,123.0285714,59.1,46,59,55,61,5.32,123.092,59.1,46,59,51,61,5.32,123.185
3,2006,7,11,16,1734.246617,1676.198585,1582.91069,1502.804186,1437.167338,1375.505161,59.4,43,59,51,61,5.28,123.425,59.2,43,59,51,61,5.28,123.5833333,59.2,43,59,51,61,5.28,123.6666667,59.1,43,59,55,61,5.28,123.0857143,59.1,43,59,55,61,5.28,123.16,58.3,43,59,51,61,5.28,123.26
3,2006,7,11,17,1714.092218,1734.246617,1676.198585,1582.91069,1502.804186,1437.167338,59.2,42,59,51,61,5.23,123.50625,59.1,42,59,51,61,5.23,123.6666667,59.1,42,59,51,61,5.23,123.7416667,59.1,42,59,55,61,5.23,123.1428571,59.1,42,59,55,61,5.23,123.228,57.7,42,59,51,61,5.23,123.34
3,2006,7,11,18,1641.740554,1714.092218,1734.246617,1676.198585,1582.91069,1502.804186,59.1,42,59,51,61,5.18,123.58125,59.1,42,59,51,61,5.18,123.7416667,59.1,42,59,51,61,5.18,123.825,59.1,42,59,52,61,5.18,123.2071429,59.1,42,59,52,61,5.18,123.304,57.5,42,59,51,61,5.18,123.415
3,2006,7,11,19,1560.438727,1641.740554,1714.092218,1734.246617,1676.198585,1582.91069,59.1,42,59,51,61,5.14,123.6625,59.1,42,59,51,61,5.14,123.825,59.1,42,59,51,61,5.14,123.9,59.1,42,59,51,61,5.14,123.275,59.1,42,59,51,61,5.14,123.38,57.5,42,59,51,61,5.14,123.5
3,2006,7,11,20,1503.816413,1560.438727,1641.740554,1714.092218,1734.246617,1676.198585,59.1,42,59,51,61,5.1,123.7375,59.1,42,59,51,61,5.1,123.9,59.1,42,59,51,61,5.1,123.975,59.1,42,59,51,61,5.1,123.3464286,59.1,42,59,51,61,5.1,123.456,57.5,42,59,51,61,5.1,123.58
3,2006,7,11,21,1467.033586,1503.816413,1560.438727,1641.740554,1714.092218,1734.246617,59.1,42,59,51,61,5.06,123.81875,59.1,42,59,51,61,5.06,123.975,59.1,42,59,51,61,5.06,124.05,59.2,42,59,51,61,5.06,123.4214286,59.2,42,59,51,61,5.06,123.536,57.6,42,59,50,61,5.06,123.66
