유입량_Qt_1_F,유입량_Qt_2_F,유입량_Qt_3_F,유입량_Qt_4_F,유입량_Qt_5_F,유입량_Qt_6_F
163.4539616,169.6855414,189.1142274,216.9519618,251.4244187,302.812199
169.6855414,189.1142274,216.9519618,251.4244187,302.812199,384.7834064
189.1142274,216.9519618,251.4244187,302.812199,384.7834064,512.5012279
216.9519618,251.4244187,302.812199,384.7834064,512.5012279,701.5026217
251.4244187,302.812199,384.7834064,512.5012279,701.5026217,952.5260535
302.812199,384.7834064,512.5012279,701.5026217,952.5260535,1207.11602
384.7834064,512.5012279,701.5026217,952.5260535,1207.11602,1392.018525
512.5012279,701.5026217,952.5260535,1207.11602,1392.018525,1454.768513
701.5026217,952.5260535,1207.11602,1392.018525,1454.768513,1426.056687
952.5260535,1207.11602,1392.018525,1454.768513,1426.056687,1357.36269
1207.11602,1392.018525,1454.768513,1426.056687,1357.36269,1293.862205
1392.018525,1454.768513,1426.056687,1357.36269,1293.862205,1255.51507
1454.768513,1426.056687,1357.36269,1293.862205,1255.51507,1255.977162
1426.056687,1357.36269,1293.862205,1255.51507,1255.977162,1299.827525
1357.36269,1293.862205,1255.51507,1255.977162,1299.827525,1355.337857
1293.862205,1255.51507,1255.977162,1299.827525,1355.337857,1381.703021
1255.51507,1255.977162,1299.827525,1355.337857,1381.703021,1352.132424
1255.977162,1299.827525,1355.337857,1381.703021,1352.132424,1295.893649
1299.827525,1355.337857,1381.703021,1352.132424,1295.893649,1256.268823
1355.337857,1381.703021,1352.132424,1295.893649,1256.268823,1265.636588
1381.703021,1352.132424,1295.893649,1256.268823,1265.636588,1312.761633
1352.132424,1295.893649,1256.268823,1265.636588,1312.761633,1375.505161
1295.893649,1256.268823,1265.636588,1312.761633,1375.505161,1437.167338
1256.268823,1265.636588,1312.761633,1375.505161,1437.167338,1502.804186
1265.636588,1312.761633,1375.505161,1437.167338,1502.804186,1582.91069
1312.761633,1375.505161,1437.167338,1502.804186,1582.91069,1676.198585
1375.505161,1437.167338,1502.804186,1582.91069,1676.198585,1734.246617
1437.167338,1502.804186,1582.91069,1676.198585,1734.246617,1714.092218
1502.804186,1582.91069,1676.198585,1734.246617,1714.092218,1641.740554
1582.91069,1676.198585,1734.246617,1714.092218,1641.740554,1560.438727
1676.198585,1734.246617,1714.092218,1641.740554,1560.438727,1503.816413
1734.246617,1714.092218,1641.740554,1560.438727,1503.816413,1467.033586
1714.092218,1641.740554,1560.438727,1503.816413,1467.033586,1435.632793
1641.740554,1560.438727,1503.816413,1467.033586,1435.632793,1398.298088
1560.438727,1503.816413,1467.033586,1435.632793,1398.298088,1356.279548
1503.816413,1467.033586,1435.632793,1398.298088,1356.279548,1313.968753
1467.033586,1435.632793,1398.298088,1356.279548,1313.968753,1275.609823
1435.632793,1398.298088,1356.279548,1313.968753,1275.609823,1244.857022
1398.298088,1356.279548,1313.968753,1275.609823,1244.857022,1225.217152
1356.279548,1313.968753,1275.609823,1244.857022,1225.217152,1218.195158
1313.968753,1275.609823,1244.857022,1225.217152,1218.195158,1217.288567
1275.609823,1244.857022,1225.217152,1218.195158,1217.288567,1213.993045
1244.857022,1225.217152,1218.195158,1217.288567,1213.993045,1201.361104
1225.217152,1218.195158,1217.288567,1213.993045,1201.361104,1178.672607
1218.195158,1217.288567,1213.993045,1201.361104,1178.672607,1146.764262
1217.288567,1213.993045,1201.361104,1178.672607,1146.764262,1107.417108
1213.993045,1201.361104,1178.672607,1146.764262,1107.417108,1066.189518
1201.361104,1178.672607,1146.764262,1107.417108,1066.189518,1029.584203
1178.672607,1146.764262,1107.417108,1066.189518,1029.584203,1003.59915
1146.764262,1107.417108,1066.189518,1029.584203,1003.59915,992.2134611
1107.417108,1066.189518,1029.584203,1003.59915,992.2134611,995.5887004
1066.189518,1029.584203,1003.59915,992.2134611,995.5887004,1000.635155
1029.584203,1003.59915,992.2134611,995.5887004,1000.635155,990.9502939
1003.59915,992.2134611,995.5887004,1000.635155,990.9502939,957.4227731
992.2134611,995.5887004,1000.635155,990.9502939,957.4227731,920.1060007
995.5887004,1000.635155,990.9502939,957.4227731,920.1060007,906.3445727
1000.635155,990.9502939,957.4227731,920.1060007,906.3445727,941.8874633
990.9502939,957.4227731,920.1060007,906.3445727,941.8874633,1046.101159
957.4227731,920.1060007,906.3445727,941.8874633,1046.101159,1236.756525
920.1060007,906.3445727,941.8874633,1046.101159,1236.756525,1520.353654
906.3445727,941.8874633,1046.101159,1236.756525,1520.353654,1858.309549
941.8874633,1046.101159,1236.756525,1520.353654,1858.309549,2200.770442
1046.101159,1236.756525,1520.353654,1858.309549,2200.770442,2511.200044
1236.756525,1520.353654,1858.309549,2200.770442,2511.200044,2806.331985
1520.353654,1858.309549,2200.770442,2511.200044,2806.331985,3116.217372
1858.309549,2200.770442,2511.200044,2806.331985,3116.217372,3452.600134
2200.770442,2511.200044,2806.331985,3116.217372,3452.600134,3753.99548
2511.200044,2806.331985,3116.217372,3452.600134,3753.99548,3940.61144
2806.331985,3116.217372,3452.600134,3753.99548,3940.61144,3967.231759
3116.217372,3452.600134,3753.99548,3940.61144,3967.231759,3926.943038
3452.600134,3753.99548,3940.61144,3967.231759,3926.943038,3947.407595
3753.99548,3940.61144,3967.231759,3926.943038,3947.407595,4126.088131
3940.61144,3967.231759,3926.943038,3947.407595,4126.088131,4439.64889
3967.231759,3926.943038,3947.407595,4126.088131,4439.64889,4834.5545
